Batch,Factor number,Downtime
422111,2,60
422111,7,15
422112,2,20
422112,8,20
422113,2,50
422114,4,25
422114,6,15
422115,10,24
422117,2,10
422117,6,5
422118,6,14
422118,7,16
422118,11,10
422118,12,20
422119,4,25
422120,4,20
422120,5,15
422120,9,17
422121,7,15
422122,7,25
422123,4,43
422123,7,30
422124,5,20
422124,6,20
422125,11,10
422125,12,10
422126,8,44
422127,6,23
422128,5,22
422128,7,30
422129,12,15
422130,2,20
422131,4,20
422131,10,10
422133,7,20
422134,7,30
422134,8,20
422135,4,30
422135,12,15
422137,8,30
422137,10,15
422138,3,20
422139,4,20
422139,6,15
422140,6,50
422140,11,13
422141,12,7
422142,6,30
422143,6,40
422143,7,18
422144,6,30
422144,8,24
422145,3,22
422146,6,30
422146,7,25
422146,12,7
422147,4,17
422147,6,60
422147,7,30
422148,4,25
422148,8,7
